Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
2601,0.000871857,-0.000235114,0.000323607,0.031,0.0310026,-1.56952e-06,3.08579e-06,0.0235942,0.0235942
2602,0.00087132,-0.000470228,0.000647214,0.031,0.0310103,-3.16549e-06,5.29252e-06,0.0234935,0.0234935
2603,0.000871007,-0.000705343,0.000970821,0.031,0.0310232,-4.60283e-06,7.28124e-06,0.0232809,0.0232809
2604,0.000870691,-0.000940457,0.00129443,0.031,0.0310413,-5.8279e-06,8.97788e-06,0.0229155,0.0229155
2605,0.00087044,-0.00117557,0.00161803,0.031,0.0310644,-6.65394e-06,1.01238e-05,0.0223576,0.0223576
2606,0.00087186,-0.000323607,0.000235114,0.031,0.0310026,-2.30453e-06,2.35544e-06,0.0235942,0.0235942
2607,0.000871325,-0.000647214,0.000470228,0.031,0.0310103,-4.50783e-06,3.96343e-06,0.0234936,0.0234936
2608,0.000871013,-0.000970821,0.000705343,0.031,0.0310232,-6.49535e-06,5.41479e-06,0.023281,0.023281
2609,0.000870698,-0.00129443,0.000940457,0.031,0.0310413,-8.19239e-06,6.65503e-06,0.0229157,0.0229157
2610,0.000870447,-0.00161803,0.00117557,0.031,0.0310644,-9.34084e-06,7.49542e-06,0.0223579,0.0223579
2611,0.000871863,-0.000380423,0.000123607,0.031,0.0310026,-2.77818e-06,1.43274e-06,0.0235942,0.0235942
2612,0.00087133,-0.000760845,0.000247214,0.031,0.0310103,-5.3746e-06,2.2818e-06,0.0234937,0.0234937
2613,0.000871019,-0.00114127,0.00037082,0.031,0.0310232,-7.72019e-06,3.0494e-06,0.0232811,0.0232811
2614,0.000870704,-0.00152169,0.000494427,0.031,0.0310413,-9.72608e-06,3.70646e-06,0.0229159,0.0229159
2615,0.000870455,-0.00190211,0.000618034,0.031,0.0310644,-1.10879e-05,4.15311e-06,0.0223581,0.0223581
2616,0.000871866,-0.0004,0,0.031,0.0310026,-2.94317e-06,4.07862e-07,0.0235943,0.0235943
2617,0.000871334,-0.0008,0,0.031,0.0310103,-5.67836e-06,4.11883e-07,0.0234937,0.0234937
2618,0.000871024,-0.0012,0,0.031,0.0310232,-8.15226e-06,4.15862e-07,0.0232813,0.0232813
2619,0.00087071,-0.0016,0,0.031,0.0310413,-1.02706e-05,4.19589e-07,0.0229161,0.0229161
2620,0.000870461,-0.002,0,0.031,0.0310644,-1.17124e-05,4.22316e-07,0.0223584,0.0223584
2621,0.000774833,-0.000123607,0.000380423,0.032,0.0320025,-3.27292e-07,2.78823e-06,0.0235812,0.0235812
